Aquaslash;Título original;Idioma original;Duración;Directores;Sinopsis;23/6/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Vengadores: Endgame;Título original;Idioma original;Duración;Directores;Sinopsis;25/4/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
Godzilla: Rey de los Monstruos;Título original;Idioma original;Duración;Directores;Sinopsis;21/6/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
Efectos colaterales del amor;Título original;Idioma original;Duración;Directores;Sinopsis;21/8/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Vengadores: Infinity War;Título original;Idioma original;Duración;Directores;Sinopsis;27/4/2018 (ES);Clasificación por edad;Imagen cartel;Puntuación
Dragonheart: Vengeance;Título original;Idioma original;Duración;Directores;Sinopsis;4/2/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Assassin 33 A.D.;Título original;Idioma original;Duración;Directores;Sinopsis;10/4/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Superniños;Título original;Idioma original;Duración;Directores;Sinopsis;25/12/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
The Doorman;Título original;Idioma original;Duración;Directores;Sinopsis;1/10/2020 (RU);Clasificación por edad;Imagen cartel;Puntuación
Fast & Furious: Hobbs & Shaw;Título original;Idioma original;Duración;Directores;Sinopsis;1/8/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
Tyler Rake;Título original;Idioma original;Duración;Directores;Sinopsis;24/4/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Bob Esponja: Un héroe al rescate;Título original;Idioma original;Duración;Directores;Sinopsis;14/8/2020 (CA);Clasificación por edad;Imagen cartel;Puntuación
Bloodshot;Título original;Idioma original;Duración;Directores;Sinopsis;6/3/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Confinados;Título original;Idioma original;Duración;Directores;Sinopsis;25/2/2021 (NL);Clasificación por edad;Imagen cartel;Puntuación
La Funeraria;Título original;Idioma original;Duración;Directores;Sinopsis;8/10/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
